				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
背包	歐洲	散心	旅行	0.813	0.486	0.266	0.49	0.114	0.203	0.113
世界	背包	散心	旅行	0.753	0.305	0.486	0.49	0.17	0.154	0.203
行李	休閒	漂泊	旅行	0.726	0.45	0.313	0.414	0.139	0.189	0.124
背包	夢想	散心	旅行	0.72	0.486	0.325	0.49	0.226	0.203	0.152
背包	愉快	歐洲	旅行	0.685	0.486	0.363	0.266	0.199	0.114	0.117
背包	歐洲	漂泊	旅行	0.684	0.486	0.266	0.414	0.114	0.222	0.146
自由	背包	散心	旅行	0.681	0.312	0.486	0.49	0.196	0.208	0.203
背包	歐洲	朋友	旅行	0.673	0.486	0.266	0.323	0.114	0.151	0.137
背包	機票	散心	旅行	0.67	0.486	0.381	0.49	0.25	0.203	0.234
自由	背包	風景	旅行	0.67	0.312	0.486	0.361	0.196	0.118	0.173
背包	愉快	風景	旅行	0.659	0.486	0.363	0.361	0.199	0.173	0.179
背包	機票	漂泊	旅行	0.658	0.486	0.381	0.414	0.25	0.222	0.151
世界	機票	散心	旅行	0.657	0.305	0.381	0.49	0.132	0.154	0.234
背包	風景	漂泊	旅行	0.652	0.486	0.361	0.414	0.173	0.222	0.213
行李	風景	漂泊	旅行	0.649	0.45	0.361	0.414	0.174	0.189	0.213
行李	見聞	漂泊	旅行	0.646	0.45	0.328	0.414	0.134	0.189	0.222
飛機	背包	散心	旅行	0.634	0.255	0.486	0.49	0.245	0.15	0.203
世界	機票	漂泊	旅行	0.633	0.305	0.381	0.414	0.132	0.184	0.151
世界	行李	漂泊	旅行	0.633	0.305	0.45	0.414	0.163	0.184	0.189
背包	畢業	散心	旅行	0.631	0.486	0.289	0.49	0.232	0.203	0.199
世界	背包	漂泊	旅行	0.628	0.305	0.486	0.414	0.17	0.184	0.222
背包	風景	朋友	旅行	0.622	0.486	0.361	0.323	0.173	0.151	0.223
行李	愉快	風景	旅行	0.621	0.45	0.363	0.361	0.199	0.174	0.179
行李	自由	風景	旅行	0.62	0.45	0.312	0.361	0.209	0.174	0.118
世界	背包	機票	旅行	0.619	0.305	0.486	0.381	0.17	0.132	0.25
行李	歐洲	漂泊	旅行	0.619	0.45	0.266	0.414	0.176	0.189	0.146
自由	火車	散心	旅行	0.618	0.312	0.345	0.49	0.11	0.208	0.212
自由	背包	見聞	旅行	0.617	0.312	0.486	0.328	0.196	0.139	0.174
背包	愉快	漂泊	旅行	0.615	0.486	0.363	0.414	0.199	0.222	0.227
出國	世界	背包	旅行	0.613	0.433	0.305	0.486	0.198	0.241	0.17
行李	愉快	漂泊	旅行	0.612	0.45	0.363	0.414	0.199	0.189	0.227
背包	朋友	漂泊	旅行	0.61	0.486	0.323	0.414	0.151	0.222	0.239
背包	見聞	漂泊	旅行	0.61	0.486	0.328	0.414	0.174	0.222	0.222
行李	休閒	朋友	旅行	0.609	0.45	0.313	0.323	0.139	0.181	0.157
行李	自由	見聞	旅行	0.607	0.45	0.312	0.328	0.209	0.134	0.139
背包	放鬆	漂泊	旅行	0.606	0.486	0.298	0.414	0.19	0.222	0.179
出國	背包	愉快	旅行	0.604	0.433	0.486	0.363	0.241	0.238	0.199
背包	愉快	機票	旅行	0.6	0.486	0.363	0.381	0.199	0.25	0.181
世界	背包	愉快	旅行	0.6	0.305	0.486	0.363	0.17	0.185	0.199
愉快	機票	漂泊	旅行	0.599	0.363	0.381	0.414	0.181	0.227	0.151
世界	背包	放鬆	旅行	0.599	0.305	0.486	0.298	0.17	0.128	0.19
世界	火車	散心	旅行	0.587	0.305	0.345	0.49	0.187	0.154	0.212
世界	行李	見聞	旅行	0.586	0.305	0.45	0.328	0.163	0.199	0.134
行李	愉快	歐洲	旅行	0.586	0.45	0.363	0.266	0.199	0.176	0.117
愉快	旅館	漂泊	旅行	0.584	0.363	0.304	0.414	0.118	0.227	0.153
行李	放鬆	漂泊	旅行	0.582	0.45	0.298	0.414	0.212	0.189	0.179
背包	見聞	朋友	旅行	0.579	0.486	0.328	0.323	0.174	0.151	0.233
行李	朋友	漂泊	旅行	0.578	0.45	0.323	0.414	0.181	0.189	0.239
世界	行李	休閒	旅行	0.577	0.305	0.45	0.313	0.163	0.188	0.139
世界	背包	見聞	旅行	0.575	0.305	0.486	0.328	0.17	0.199	0.174
世界	行李	愉快	旅行	0.57	0.305	0.45	0.363	0.163	0.185	0.199
背包	放鬆	歐洲	旅行	0.57	0.486	0.298	0.266	0.19	0.114	0.176
世界	畢業	散心	旅行	0.57	0.305	0.289	0.49	0.162	0.154	0.199
背包	機票	朋友	旅行	0.567	0.486	0.381	0.323	0.25	0.151	0.222
行李	愉快	夢想	旅行	0.566	0.45	0.363	0.325	0.199	0.16	0.212
飛機	自由	散心	旅行	0.565	0.255	0.312	0.49	0.135	0.15	0.208
自由	機票	散心	旅行	0.564	0.312	0.381	0.49	0.178	0.208	0.234
飛機	背包	漂泊	旅行	0.562	0.255	0.486	0.414	0.245	0.126	0.222
背包	見聞	歐洲	旅行	0.562	0.486	0.328	0.266	0.174	0.114	0.23
放鬆	火車	漂泊	旅行	0.561	0.298	0.345	0.414	0.145	0.179	0.171
世界	背包	朋友	旅行	0.557	0.305	0.486	0.323	0.17	0.235	0.151
行李	風景	朋友	旅行	0.556	0.45	0.361	0.323	0.174	0.181	0.223
放鬆	機票	漂泊	旅行	0.555	0.298	0.381	0.414	0.208	0.179	0.151
自由	背包	機票	旅行	0.555	0.312	0.486	0.381	0.196	0.178	0.25
愉快	歐洲	漂泊	旅行	0.553	0.363	0.266	0.414	0.117	0.227	0.146
行李	見聞	朋友	旅行	0.553	0.45	0.328	0.323	0.134	0.181	0.233
自由	背包	漂泊	旅行	0.552	0.312	0.486	0.414	0.196	0.241	0.222
愉快	火車	漂泊	旅行	0.551	0.363	0.345	0.414	0.172	0.227	0.171
世界	愉快	機票	旅行	0.551	0.305	0.363	0.381	0.185	0.132	0.181
世界	行李	放鬆	旅行	0.549	0.305	0.45	0.298	0.163	0.128	0.212
自由	火車	漂泊	旅行	0.548	0.312	0.345	0.414	0.11	0.241	0.171
出國	自由	背包	旅行	0.547	0.433	0.312	0.486	0.246	0.241	0.196
行李	歐洲	朋友	旅行	0.545	0.45	0.266	0.323	0.176	0.181	0.137
飛機	愉快	漂泊	旅行	0.544	0.255	0.363	0.414	0.135	0.126	0.227
背包	放鬆	朋友	旅行	0.543	0.486	0.298	0.323	0.19	0.151	0.222
自由	機票	漂泊	旅行	0.538	0.312	0.381	0.414	0.178	0.241	0.151
背包	愉快	夢想	旅行	0.537	0.486	0.363	0.325	0.199	0.226	0.212
行李	自由	漂泊	旅行	0.536	0.45	0.312	0.414	0.209	0.189	0.241
世界	休閒	漂泊	旅行	0.535	0.305	0.313	0.414	0.188	0.184	0.124
背包	畢業	朋友	旅行	0.533	0.486	0.289	0.323	0.232	0.151	0.182
休閒	朋友	漂泊	旅行	0.53	0.313	0.323	0.414	0.157	0.124	0.239
背包	愉快	畢業	旅行	0.53	0.486	0.363	0.289	0.199	0.232	0.177
自由	畢業	散心	旅行	0.528	0.312	0.289	0.49	0.157	0.208	0.199
飛機	背包	愉快	旅行	0.525	0.255	0.486	0.363	0.245	0.135	0.199
世界	旅館	漂泊	旅行	0.525	0.305	0.304	0.414	0.161	0.184	0.153
世界	放鬆	漂泊	旅行	0.525	0.305	0.298	0.414	0.128	0.184	0.179
行李	放鬆	夢想	旅行	0.524	0.45	0.298	0.325	0.212	0.16	0.177
自由	旅館	漂泊	旅行	0.523	0.312	0.304	0.414	0.113	0.241	0.153
世界	火車	漂泊	旅行	0.521	0.305	0.345	0.414	0.187	0.184	0.171
世界	飛機	散心	旅行	0.521	0.305	0.255	0.49	0.226	0.154	0.15
畢業	歐洲	散心	旅行	0.52	0.289	0.266	0.49	0.214	0.199	0.113
愉快	風景	漂泊	旅行	0.519	0.363	0.361	0.414	0.179	0.227	0.213
背包	放鬆	見聞	旅行	0.518	0.486	0.298	0.328	0.19	0.174	0.229
背包	放鬆	機票	旅行	0.517	0.486	0.298	0.381	0.19	0.25	0.208
世界	放鬆	機票	旅行	0.516	0.305	0.298	0.381	0.128	0.132	0.208
世界	背包	畢業	旅行	0.515	0.305	0.486	0.289	0.17	0.162	0.232
背包	放鬆	夢想	旅行	0.515	0.486	0.298	0.325	0.19	0.226	0.177
自由	風景	漂泊	旅行	0.514	0.312	0.361	0.414	0.118	0.241	0.213
飛機	放鬆	漂泊	旅行	0.51	0.255	0.298	0.414	0.152	0.126	0.179
世界	愉快	旅館	旅行	0.508	0.305	0.363	0.304	0.185	0.161	0.118
機票	朋友	漂泊	旅行	0.506	0.381	0.323	0.414	0.222	0.151	0.239
行李	自由	休閒	旅行	0.503	0.45	0.312	0.313	0.209	0.139	0.223
行李	見聞	歐洲	旅行	0.503	0.45	0.328	0.266	0.134	0.176	0.23
飛機	背包	朋友	旅行	0.501	0.255	0.486	0.323	0.245	0.167	0.151
自由	背包	畢業	旅行	0.501	0.312	0.486	0.289	0.196	0.157	0.232
行李	放鬆	見聞	旅行	0.501	0.45	0.298	0.328	0.212	0.134	0.229
世界	行李	朋友	旅行	0.499	0.305	0.45	0.323	0.163	0.235	0.181
行李	愉快	畢業	旅行	0.498	0.45	0.363	0.289	0.199	0.227	0.177
行李	畢業	漂泊	旅行	0.495	0.45	0.289	0.414	0.227	0.189	0.242
背包	畢業	漂泊	旅行	0.493	0.486	0.289	0.414	0.232	0.222	0.242
世界	行李	畢業	旅行	0.492	0.305	0.45	0.289	0.163	0.162	0.227
世界	放鬆	火車	旅行	0.487	0.305	0.298	0.345	0.128	0.187	0.145
世界	愉快	漂泊	旅行	0.486	0.305	0.363	0.414	0.185	0.184	0.227
背包	畢業	歐洲	旅行	0.481	0.486	0.289	0.266	0.232	0.114	0.214
歐洲	朋友	漂泊	旅行	0.481	0.266	0.323	0.414	0.137	0.146	0.239
出國	世界	愉快	旅行	0.479	0.433	0.305	0.363	0.198	0.238	0.185
火車	朋友	漂泊	旅行	0.479	0.345	0.323	0.414	0.193	0.171	0.239
飛機	自由	漂泊	旅行	0.479	0.255	0.312	0.414	0.135	0.126	0.241
放鬆	歐洲	漂泊	旅行	0.477	0.298	0.266	0.414	0.176	0.179	0.146
飛機	自由	背包	旅行	0.476	0.255	0.312	0.486	0.135	0.245	0.196
行李	畢業	朋友	旅行	0.472	0.45	0.289	0.323	0.227	0.181	0.182
世界	愉快	火車	旅行	0.468	0.305	0.363	0.345	0.185	0.187	0.172
放鬆	旅館	漂泊	旅行	0.463	0.298	0.304	0.414	0.22	0.179	0.153
飛機	朋友	漂泊	旅行	0.46	0.255	0.323	0.414	0.167	0.126	0.239
行李	自由	畢業	旅行	0.457	0.45	0.312	0.289	0.209	0.227	0.157
旅館	朋友	漂泊	旅行	0.456	0.304	0.323	0.414	0.192	0.153	0.239
行李	放鬆	朋友	旅行	0.456	0.45	0.298	0.323	0.212	0.181	0.222
飛機	背包	放鬆	旅行	0.452	0.255	0.486	0.298	0.245	0.152	0.19
自由	見聞	漂泊	旅行	0.452	0.312	0.328	0.414	0.139	0.241	0.222
自由	休閒	漂泊	旅行	0.451	0.312	0.313	0.414	0.223	0.241	0.124
行李	放鬆	歐洲	旅行	0.45	0.45	0.298	0.266	0.212	0.176	0.176
世界	見聞	漂泊	旅行	0.441	0.305	0.328	0.414	0.199	0.184	0.222
世界	飛機	漂泊	旅行	0.438	0.305	0.255	0.414	0.226	0.184	0.126
背包	放鬆	畢業	旅行	0.434	0.486	0.298	0.289	0.19	0.232	0.216
世界	愉快	畢業	旅行	0.433	0.305	0.363	0.289	0.185	0.162	0.177
飛機	背包	見聞	旅行	0.423	0.255	0.486	0.328	0.245	0.228	0.174
風景	朋友	漂泊	旅行	0.423	0.361	0.323	0.414	0.223	0.213	0.239
